"","site","date","UF_Na","UF_Mg","UF_Al","UF_P","UF_S","UF_K","UF_Ca","UF_V","UF_Cr_KED","UF_Cr_NH3","UF_Fe_NH3","UF_Mn","UF_Fe_KED","UF_Co","UF_Ni","UF_Cu_KED","UF_Cu_NH3","UF_Zn","UF_As_STD","UF_As_KED","UF_As_Oshift","UF_Se..77..77.77..ppb.","UF_Se77_Oshift","UF_Se78_Oshift","UF_Se80_Oshift","UF_Se..82..82.82..ppb.","UF_Se82_Oshift","UF_Mo_NH3","UF_Mo_Oshift","UF_Cd111","UF_Cd114","UF_Pb_STD","UF_Pb_NH3","F_Na","F_Mg","F_Al","F_P","F_S","F_K","F_Ca","F_V","F_Cr_KED","F_Cr_NH3","F_Fe_NH3","F_Mn","F_Fe_KED","F_Co","F_Ni","F_Cu_KED","F_Cu_NH3","F_Zn","F_As_STD","F_As_KED","F_As_Oshift","F_Se..77..77.77..ppb.","F_Se77_Oshift","F_Se78_Oshift","F_Se80_Oshift","F_Se..82..82.82..ppb.","F_Se82_Oshift","F_Mo_NH3","F_Mo_Oshift","F_Cd111","F_Cd114","F_Pb_STD","F_Pb_NH3","W_Na","W_Mg","W_Al","W_P","W_S","W_K","W_Ca","W_V","W_Cr_KED","W_Cr_NH3","W_Fe_NH3","W_Mn","W_Fe_KED","W_Co","W_Ni","W_Cu_KED","W_Cu_NH3","W_Zn","W_As_STD","W_As_KED","W_As_Oshift","W_Se..77..77.77..ppb.","W_Se77_Oshift","W_Se78_Oshift","W_Se80_Oshift","W_Se..82..82.82..ppb.","W_Se82_Oshift","W_Mo_NH3","W_Mo_Oshift","W_Cd111","W_Cd114","W_Pb_STD","W_Pb_NH3"
"1","WS",2021-06-21,8221.15353535354,5815.78181818182,4.73131313131313,52.2747474747475,14917.3393939394,1825.28484848485,31520.2565656566,0.593939393939394,0.098989898989899,0.133333333333333,1.27856110820603,67.4565656565657,1.42326650693497,0.0682711548265122,0.313131313131313,1.02628963842727,3.28888888888889,1.36363636363636,11.2505050505051,6.91313131313131,10.9292929292929,0.426625594643884,0.0578485196785749,0.0444444444444444,0.105050505050505,0.446464646464647,0.0848484848484849,17.5717171717172,17.0888888888889,0.0110494237109797,0.0181818181818182,0.15959595959596,0.163636363636364,10777.1898989899,8709.38585858586,12.650505050505,69.5959595959596,25272.6646464646,2767.68282828283,48149.2222222222,0.703030303030303,0.111111111111111,0.098989898989899,23.8161616161616,72.0282828282828,24.6747474747475,0.0682711548265122,0.563636363636364,4.58989898989899,4.57575757575758,2.57575757575758,11.9454545454545,9.98787878787879,12.0060606060606,0.426625594643884,0.0578485196785749,0.111111111111111,0.127272727272727,0.484848484848485,0.0626262626262626,17.6161616161616,18.6444444444444,0.0110494237109797,0.0202020202020202,0.22020202020202,0.226262626262626,11305.5858585859,8934.94949494949,102.060606060606,50.8202264291418,30712.8787878788,3428.86868686869,50014.6060606061,1.43434343434343,0.121297853039956,0.242424242424242,116.070707070707,82.6262626262626,116.313131313131,0.341355774132561,0.757575757575758,5.13144819213636,5.27342821865632,1.66666666666667,13.5050505050505,10.6565656565657,12.9090909090909,2.13312797321942,0.289242598392875,0.0930082814564861,0.151515151515152,0.507804600803194,0.109064519939393,19.6363636363636,18.979797979798,0.0552471185548987,0.0411386095820499,0.36469615830563,0.398808615568618
"2","GC",2021-06-21,14494.5393939394,10128.5050505051,3.42424242424242,31.4383838383838,22463.103030303,2921.89292929293,49979.4787878788,1.34949494949495,0.101010101010101,0.111111111111111,1.27856110820603,27.1575757575758,1.42326650693497,0.0682711548265122,0.41010101010101,4.69090909090909,4.87272727272727,1.42222222222222,10.8868686868687,9.44848484848485,11.4464646464646,0.426625594643884,0.0578485196785749,0.115151515151515,0.123232323232323,0.571717171717172,0.133333333333333,12.4464646464646,12.5151515151515,0.0222222222222222,0.0262626262626263,0.147474747474747,0.0797617231137235,13784.2060606061,10670.2828282828,13.5292929292929,32.1676767676768,23945.6808080808,2958.31313131313,52941.5333333333,1.34747474747475,0.109090909090909,0.115151515151515,19.0222222222222,28.410101010101,20.0828282828283,0.0682711548265122,0.519191919191919,8.63232323232323,8.1030303030303,3.4020202020202,13.5212121212121,10.6323232323232,11.5232323232323,1.18383838383838,0.234343434343434,0.105050505050505,0.119191919191919,0.581818181818182,0.137373737373737,12.9171717171717,12.7636363636364,0.0303030303030303,0.0323232323232323,0.319191919191919,0.280808080808081,14556.6060606061,10918.5151515152,137.656565656566,50.8202264291418,31746.4545454545,3909.83838383838,54436.6767676768,2.21212121212121,0.121297853039956,0.252525252525253,133.666666666667,40.1717171717172,135.010101010101,0.341355774132561,0.555555555555556,13.7676767676768,14.030303030303,4.87878787878788,13.2727272727273,13.1212121212121,12.8181818181818,2.13312797321942,0.289242598392875,0.0930082814564861,0.121212121212121,1.17171717171717,0.109064519939393,13.0909090909091,12.8787878787879,0.0552471185548987,0.0411386095820499,1.03030303030303,1.04040404040404
"3","BG",2021-06-21,17812.1313131313,12352.3232323232,3.02222222222222,38.3151515151515,22371.8666666667,3244.9797979798,56078.1595959596,1.9979797979798,0.105050505050505,0.0929292929292929,1.27856110820603,31.7414141414141,1.42326650693497,0.0682711548265122,0.456565656565657,8.23434343434343,8.27878787878788,2.75353535353535,10.9959595959596,10.4848484848485,11.0787878787879,0.426625594643884,0.0578485196785749,0.0787878787878788,0.129292929292929,0.571717171717172,0.167676767676768,11.2262626262626,10.8424242424242,0.0323232323232323,0.0282828282828283,0.157575757575758,0.161616161616162,16886.6646464646,13010.797979798,7.39393939393939,42.8646464646465,25004.2060606061,3405.72323232323,58857.9555555556,1.84242424242424,0.117171717171717,0.103030303030303,54.7434343434343,34.2363636363636,55.440404040404,0.0682711548265122,0.565656565656566,9.18181818181818,9.31919191919192,3.57373737373737,11.8343434343434,11.9555555555556,12.0424242424242,0.426625594643884,0.133333333333333,0.18989898989899,0.141414141414141,0.622222222222222,0.139393939393939,12.0747474747475,11.7212121212121,0.0383838383838384,0.0404040404040404,0.290909090909091,0.305050505050505,16701.0909090909,11881.3939393939,130.424242424242,50.8202264291418,28364.8888888889,4441.06060606061,59098.2323232323,2.74747474747475,0.343434343434343,0.363636363636364,131.161616161616,47.1414141414141,128.363636363636,0.341355774132561,0.444444444444444,13.4141414141414,13.9090909090909,5.57575757575758,12.6767676767677,10.5959595959596,12.8484848484848,2.13312797321942,0.289242598392875,0.0930082814564861,0.0554177867969806,0.507804600803194,0.109064519939393,11.6262626262626,11.4747474747475,0.0552471185548987,0.0411386095820499,1.07070707070707,1.26262626262626
"4","BN",2021-06-21,13682.7212121212,11002.197979798,2.85454545454545,45.1737373737374,16282.6,2706.64646464646,47860.8929292929,1.5030303030303,0.0828282828282828,0.0767676767676768,1.27856110820603,18.9555555555556,1.42326650693497,0.0682711548265122,0.37979797979798,4.61010101010101,4.64848484848485,1.71717171717172,8.09292929292929,7.64242424242424,7.99191919191919,0.426625594643884,0.0578485196785749,0.127272727272727,0.096969696969697,0.496969696969697,0.0848484848484849,6.27676767676768,6.07272727272727,0.0222222222222222,0.0262626262626263,0.16969696969697,0.167676767676768,13672.1131313131,12533.9535353535,10.8626262626263,46.5757575757576,19403.7595959596,3001.25656565657,54882.0181818182,1.6020202020202,0.18989898989899,0.183838383838384,23.4282828282828,21.7353535353535,25.3252525252525,0.0682711548265122,0.567676767676768,21.5575757575758,20.4828282828283,8.22626262626263,8.82222222222222,7.9010101010101,8.87272727272727,0.426625594643884,0.0578485196785749,0.109090909090909,0.145454545454545,0.521212121212121,0.0888888888888889,6.75151515151515,6.70707070707071,0.0262626262626263,0.0343434343434343,0.298989898989899,0.303030303030303,12936.1818181818,11516.7474747475,188.464646464647,50.8202264291418,23997.3535353535,3626.51515151515,52640.6161616162,2.22222222222222,0.121297853039956,0.252525252525253,156.636363636364,38.7777777777778,155.434343434343,0.341355774132561,0.424242424242424,12.2121212121212,12.3737373737374,4.90909090909091,9.28282828282828,7.47474747474748,9.93939393939394,2.13312797321942,0.289242598392875,0.0930082814564861,0.0554177867969806,0.507804600803194,0.109064519939393,6.70707070707071,7.12121212121212,0.0552471185548987,0.0411386095820499,0.96969696969697,1.03030303030303
"5","DL",2021-06-21,14866.8262626263,14117.8121212121,0.9446181709083,49.5757575757576,22822.1575757576,3265.5797979798,59987.4060606061,1.91515151515152,0.133333333333333,0.098989898989899,1.27856110820603,16.2565656565657,1.42326650693497,0.0682711548265122,0.480808080808081,4.6969696969697,4.72727272727273,1.03434343434343,9.10909090909091,7.75959595959596,9.17171717171717,0.426625594643884,0.0578485196785749,0.197979797979798,0.137373737373737,0.547474747474748,0.125252525252525,5.55151515151515,5.34141414141414,0.0262626262626263,0.0282828282828283,0.151515151515152,0.15959595959596,12904.5191919192,14435.3939393939,10.5939393939394,54.6363636363636,23872.6626262626,3354.32323232323,62509.8868686869,1.77373737373737,0.139393939393939,0.119191919191919,14.4626262626263,19.8989898989899,15.0424242424242,0.0682711548265122,0.587878787878788,7.78787878787879,7.7959595959596,2.86868686868687,9.53131313131313,8.03434343434343,10.8565656565657,0.426625594643884,0.151515151515152,0.214141414141414,0.18989898989899,0.733333333333333,0.171717171717172,5.72525252525253,6.33737373737374,0.0323232323232323,0.0323232323232323,0.260606060606061,0.280808080808081,15212.4848484848,15734.2323232323,193.010101010101,50.8202264291418,37362.9090909091,4523.38383838384,71500.2929292929,2.76767676767677,0.303030303030303,0.292929292929293,127.59595959596,29.6868686868687,141.555555555556,0.341355774132561,0.474747474747475,18.4949494949495,16.8585858585859,7.70707070707071,10.3636363636364,9.82828282828283,10.2323232323232,2.13312797321942,0.289242598392875,0.0930082814564861,0.171717171717172,0.507804600803194,0.109064519939393,5.62626262626263,5.63636363636364,0.0552471185548987,0.0411386095820499,0.858585858585859,0.838383838383839
"6","GR",2021-06-21,14386.3818181818,14490.096969697,8.04444444444445,49.3757575757576,21155.7313131313,3173.7898989899,58558.3050505051,1.74747474747475,0.098989898989899,0.0929292929292929,1.27856110820603,13.5838383838384,1.42326650693497,0.0682711548265122,0.282828282828283,4.51313131313131,4.67474747474748,1.17777777777778,9.01414141414141,8.3979797979798,9.12929292929293,0.426625594643884,0.0578485196785749,0.113131313131313,0.125252525252525,0.650505050505051,0.173737373737374,5.04242424242424,4.87474747474747,0.0242424242424242,0.0262626262626263,0.149494949494949,0.163636363636364,12819.6323232323,15171.1454545455,15.3979797979798,54.4868686868687,23883.0343434343,3298.48686868687,62146.997979798,1.82626262626263,0.094949494949495,0.111111111111111,14.2646464646465,15.9050505050505,14.9151515151515,0.0682711548265122,0.363636363636364,8.42020202020202,8.50707070707071,4.07676767676768,10.2808080808081,9.11313131313131,10.4969696969697,0.426625594643884,0.157575757575758,0.163636363636364,0.171717171717172,0.614141414141414,0.202020202020202,5.52525252525253,5.57777777777778,0.0343434343434343,0.0343434343434343,0.290909090909091,0.288888888888889,13365.1616161616,15060.202020202,164.30303030303,50.8202264291418,28043.2424242424,3960.54545454545,62887.4747474747,2.67676767676768,0.121297853039956,0.109119320395622,120.666666666667,30.6363636363636,121.969696969697,0.341355774132561,0.525252525252525,10.7272727272727,10.6868686868687,5.91919191919192,10.3737373737374,10.1414141414141,10.5656565656566,2.13312797321942,0.289242598392875,0.0930082814564861,0.0554177867969806,0.507804600803194,0.109064519939393,5.36363636363636,5.37373737373737,0.0552471185548987,0.0411386095820499,0.858585858585859,0.898989898989899
"7","WS",2021-07-06,18173.1757575758,12875.1434343434,13.6707070707071,56.0888888888889,38950.8808080808,3772.16767676768,69916.8686868687,0.975757575757576,0.123232323232323,0.125252525252525,1.27856110820603,44.3252525252525,1.42326650693497,0.0682711548265122,0.737373737373737,7.70505050505051,7.71515151515152,3.93939393939394,10.5111111111111,9.25656565656566,10.820202020202,0.426625594643884,0.0578485196785749,0.0727272727272727,0.0868686868686869,0.57979797979798,0.094949494949495,25.4444444444444,25.2525252525253,0.0110494237109797,0.0222222222222222,0.0729392316611259,0.0797617231137235,14536.9131313131,11191.9939393939,13.3858585858586,30.2606060606061,38442.1858585859,3443.83838383838,62200.2323232323,0.812121212121212,0.16969696969697,0.197979797979798,16.1434343434343,42.1939393939394,16.5373737373737,0.0682711548265122,0.822222222222222,2.36363636363636,2.42626262626263,1.79393939393939,10.2444444444444,9.36767676767677,10.4646464646465,0.426625594643884,0.0578485196785749,0.137373737373737,0.113131313131313,0.622222222222222,0.0767676767676768,24.8444444444444,24.4464646464647,0.0110494237109797,0.0242424242424242,0.0729392316611259,0.0797617231137235,11857.0202020202,12200.6767676768,50.3030303030303,50.8202264291418,32776.2525252525,2929.27272727273,62923.3838383838,0.58574752640477,0.262626262626263,0.109119320395622,43.5555555555556,33.6262626262626,47.6868686868687,0.341355774132561,0.656565656565657,5.13144819213636,5.27342821865632,1.75757575757576,11.5959595959596,8.98989898989899,10.2929292929293,2.13312797321942,0.289242598392875,0.0930082814564861,0.171717171717172,1.07070707070707,0.109064519939393,17.1010101010101,17.2424242424242,0.0552471185548987,0.0411386095820499,0.36469615830563,0.398808615568618
"8","GC",2021-07-06,20216.5656565657,12885.6707070707,2.31515151515151,29.1050505050505,28845.4727272727,3787.74545454545,63942.0262626263,1.77777777777778,0.131313131313131,0.129292929292929,1.27856110820603,36.3494949494949,1.42326650693497,0.0682711548265122,0.432323232323232,3.11717171717172,3.18585858585859,2.68080808080808,12.8727272727273,11.3111111111111,11.4040404040404,0.426625594643884,0.0578485196785749,0.151515151515152,0.151515151515152,0.868686868686869,0.105050505050505,13.1030303030303,12.2585858585859,0.0323232323232323,0.0343434343434343,0.234343434343434,0.228282828282828,17224.2121212121,12379.2848484848,8.48686868686869,10.1640452858284,27726.1858585859,3590.78383838384,63398.3313131313,1.66464646464646,0.107070707070707,0.127272727272727,14.8121212121212,40.3090909090909,14.6808080808081,0.0682711548265122,0.448484848484849,6.30707070707071,6.51717171717172,8.03030303030303,12.9474747474747,11.2060606060606,12.7858585858586,0.426625594643884,0.0578485196785749,0.208080808080808,0.157575757575758,0.824242424242424,0.113131313131313,14.2929292929293,13.9353535353535,0.0363636363636364,0.0383838383838384,0.535353535353535,0.509090909090909,17515.4545454545,13007.3636363636,116.616161616162,50.8202264291418,24427.5252525253,3829.91919191919,65259.9393939394,1.81818181818182,0.363636363636364,0.333333333333333,119.282828282828,56.7272727272727,121.707070707071,0.341355774132561,0.262626262626263,12.5151515151515,12.020202020202,5.6969696969697,13.3737373737374,10.5151515151515,12.6262626262626,2.13312797321942,0.289242598392875,0.0930082814564861,0.353535353535354,1.45454545454545,0.505050505050505,8.22222222222222,7.92929292929293,0.0552471185548987,0.0411386095820499,1.13131313131313,0.888888888888889
"9","BG",2021-07-06,22504.1070707071,14323.602020202,2.31515151515151,21.9919191919192,24940.0666666667,3996.01818181818,64542.1777777778,2.32525252525253,1.57373737373737,1.48282828282828,13.5959595959596,44.3333333333333,14.9030303030303,0.0682711548265122,0.458585858585859,3.9979797979798,3.92929292929293,2.68888888888889,13.5656565656566,12.8020202020202,13.4969696969697,0.426625594643884,0.129292929292929,0.16969696969697,0.145454545454545,0.856565656565657,0.127272727272727,10.0868686868687,9.84242424242424,0.0363636363636364,0.0363636363636364,0.0729392316611259,0.0797617231137235,19443.1454545455,13835.5616161616,10.2424242424242,40.5111111111111,24749.4323232323,3900.35353535354,62357.0606060606,2.27676767676768,0.113131313131313,0.121212121212121,17.6808080808081,45.9838383838384,18.3252525252525,0.0682711548265122,0.37979797979798,7.34949494949495,7.65454545454546,4.58181818181818,14.0383838383838,12.969696969697,13.989898989899,0.426625594643884,0.0578485196785749,0.185858585858586,0.175757575757576,0.735353535353535,0.119191919191919,10.5878787878788,10.189898989899,0.0424242424242424,0.0404040404040404,0.652525252525253,0.705050505050505,20536.3636363636,13273.1414141414,71.0404040404041,50.8202264291418,24738.3131313131,4245.44444444444,64011.0909090909,1.84848484848485,0.353535353535354,0.393939393939394,79.3838383838384,57.2121212121212,85.7878787878788,0.341355774132561,0.353535353535354,5.13144819213636,5.27342821865632,3.86868686868687,14.3030303030303,9.92929292929293,12.7676767676768,2.13312797321942,0.289242598392875,0.282828282828283,0.272727272727273,1.95959595959596,0.323232323232323,7.80808080808081,8.09090909090909,0.0552471185548987,0.0411386095820499,0.36469615830563,0.398808615568618
"10","BN",2021-07-06,17462.7292929293,13171.3515151515,0.9446181709083,23.989898989899,19037.0868686869,3390.4101010101,57561.8888888889,1.95151515151515,0.131313131313131,0.125252525252525,1.27856110820603,18.9838383838384,1.42326650693497,0.0682711548265122,0.333333333333333,3.04242424242424,2.95151515151515,1.66464646464646,10.1818181818182,9.30707070707071,10.189898989899,0.426625594643884,0.0578485196785749,0.143434343434343,0.139393939393939,0.703030303030303,0.0585858585858586,6.41414141414141,6.2020202020202,0.0262626262626263,0.0262626262626263,0.357575757575758,0.387878787878788,15231.4464646465,12700.9757575758,19.4929292929293,40.9131313131313,19959.7636363636,3226.67878787879,60380.4585858586,1.98787878787879,0.125252525252525,0.125252525252525,14.7373737373737,20.579797979798,15.5555555555556,0.0682711548265122,0.408080808080808,6.65454545454546,6.41818181818182,3.04242424242424,11.0686868686869,10.0383838383838,10.9232323232323,0.426625594643884,0.151515151515152,0.141414141414141,0.135353535353535,0.55959595959596,0.111111111111111,6.9959595959596,6.63434343434343,0.0323232323232323,0.0343434343434343,1.12929292929293,1.19393939393939,12858.494949495,11487.7676767677,93.1818181818182,50.8202264291418,16365.9292929293,2941.73737373737,49754.1212121212,1.4949494949495,0.282828282828283,0.373737373737374,88.6363636363637,38.6262626262626,89.3232323232323,0.341355774132561,0.343434343434343,5.13144819213636,5.27342821865632,3.76767676767677,9.90909090909091,7.65656565656566,9.22222222222222,2.13312797321942,0.289242598392875,0.0930082814564861,0.171717171717172,0.507804600803194,0.232323232323232,4.92929292929293,5.04040404040404,0.0552471185548987,0.0411386095820499,0.36469615830563,0.398808615568618
"11","DL",2021-07-06,16744.1232323232,16564.4464646465,2.4040404040404,10.1640452858284,27672.1454545455,3926.2202020202,68361.0222222222,2.13737373737374,0.111111111111111,0.105050505050505,1.27856110820603,11.4545454545455,1.42326650693497,0.0682711548265122,0.361616161616162,3.15353535353535,3.16969696969697,1.6020202020202,11.1131313131313,9.8,11.230303030303,0.426625594643884,0.157575757575758,0.177777777777778,0.171717171717172,0.836363636363636,0.15959595959596,4.98383838383838,5.06666666666667,0.0303030303030303,0.0303030303030303,0.232323232323232,0.260606060606061,14976.8828282828,16923.1111111111,11.6141414141414,41.2080808080808,28916.5393939394,4029.39393939394,72368.2565656566,2.02020202020202,0.123232323232323,0.2,14.0121212121212,13.0262626262626,11.9474747474747,0.0682711548265122,0.424242424242424,6.53535353535354,8.13939393939394,3.3959595959596,11.9414141414141,11.1191919191919,11.9191919191919,0.426625594643884,0.193939393939394,0.16969696969697,0.195959595959596,0.923232323232323,0.151515151515152,6.72323232323232,5.28888888888889,0.0383838383838384,0.0323232323232323,0.694949494949495,0.741414141414141,13113.3131313131,15756.303030303,114.343434343434,50.8202264291418,25375.7474747475,3838.82828282828,63268.9797979798,1.68686868686869,1.05050505050505,1.02020202020202,100.10101010101,47.5959595959596,97.2222222222222,0.341355774132561,0.393939393939394,5.13144819213636,5.27342821865632,4.64646464646465,10.9191919191919,6.98989898989899,9.77777777777778,2.13312797321942,0.289242598392875,0.202020202020202,0.252525252525253,1.98989898989899,0.272727272727273,4.19191919191919,4.04040404040404,0.0552471185548987,0.0411386095820499,0.36469615830563,0.398808615568618
"12","GR",2021-07-06,16048.5353535354,16479.3656565657,2.42828282828283,10.1640452858284,28163.9111111111,3877.69494949495,67033.4242424242,2.04848484848485,0.141414141414141,0.135353535353535,1.27856110820603,3.53131313131313,1.42326650693497,0.0682711548265122,0.337373737373737,3.6989898989899,3.72929292929293,1.33535353535354,12.4727272727273,9.42222222222222,10.9151515151515,0.909090909090909,0.0578485196785749,0.129292929292929,0.171717171717172,0.797979797979798,0.208080808080808,5.34343434343434,5.21212121212121,0.0262626262626263,0.0262626262626263,0.305050505050505,0.280808080808081,14425.5939393939,16983.9434343434,8.32121212121212,33.779797979798,29001.2282828283,3851.11515151515,67915.1414141414,2.02020202020202,0.111111111111111,0.125252525252525,7.96969696969697,4.33131313131313,8.72525252525253,0.0682711548265122,0.351515151515152,6.44848484848485,6.44848484848485,2.14949494949495,11.2909090909091,10.4808080808081,11.5191919191919,0.426625594643884,0.145454545454545,0.161616161616162,0.177777777777778,0.812121212121212,0.185858585858586,5.6040404040404,5.37575757575758,0.0262626262626263,0.0303030303030303,0.395959595959596,0.424242424242424,12897.3737373737,16971.1111111111,34.6464646464647,50.8202264291418,28068.101010101,3928.9494949495,64551.1313131313,1.31313131313131,0.363636363636364,0.313131313131313,25.040404040404,14.8888888888889,25.3939393939394,0.341355774132561,0.404040404040404,5.13144819213636,5.27342821865632,1.24242424242424,10.3232323232323,7.33333333333333,9.90909090909091,2.13312797321942,0.289242598392875,0.303030303030303,0.252525252525253,0.507804600803194,0.323232323232323,3.92929292929293,4.04040404040404,0.0552471185548987,0.0411386095820499,0.36469615830563,0.398808615568618
"13","WS",2021-08-02,11116.5898989899,11142.2141414141,3.08686868686869,10.1640452858284,24907.7818181818,2461.63434343434,57413.0545454545,0.8,0.125252525252525,0.119191919191919,1.27856110820603,30.6828282828283,1.42326650693497,0.0682711548265122,0.484848484848485,1.02628963842727,1.05468564373126,2.93333333333333,8.74545454545455,7.52525252525253,8.84848484848485,0.426625594643884,0.0578485196785749,0.101010101010101,0.096969696969697,0.614141414141414,0.0707070707070707,10.5070707070707,10.6989898989899,0.0110494237109797,0.00822772191640997,0.0729392316611259,0.0797617231137235,9682.41818181818,12312.4747474747,5.71313131313131,10.1640452858284,28903.9515151515,2497.99191919192,62224.0262626263,0.771717171717172,0.105050505050505,0.096969696969697,13.210101010101,34.159595959596,14.0222222222222,0.0682711548265122,0.595959595959596,2.52525252525253,2.53737373737374,3.86868686868687,9.24444444444444,7.98383838383838,9.97979797979798,0.426625594643884,0.0578485196785749,0.131313131313131,0.115151515151515,0.658585858585859,0.147474747474747,12.0787878787879,12.2505050505051,0.0110494237109797,0.00822772191640997,0.0729392316611259,0.0797617231137235,9716,12109.3838383838,83.3030303030303,50.8202264291418,33960.9898989899,2816.15151515152,61562.5656565657,0.58574752640477,0.363636363636364,0.323232323232323,80.5353535353535,52.2929292929293,82.9292929292929,0.341355774132561,1,5.13144819213636,5.27342821865632,1.4040404040404,10.5252525252525,7.76767676767677,10.6464646464646,2.13312797321942,0.289242598392875,0.0930082814564861,0.171717171717172,0.507804600803194,0.109064519939393,11.7979797979798,12.1313131313131,0.0552471185548987,0.0411386095820499,0.36469615830563,0.398808615568618
"14","GC",2021-08-02,21562.7535353535,14127.4868686869,0.9446181709083,10.1640452858284,24575.8141414141,4233.34141414141,70691.3171717172,2.03838383838384,0.202020202020202,0.181818181818182,1.27856110820603,27.8262626262626,1.42326650693497,0.0682711548265122,0.424242424242424,4.35151515151515,4.41616161616162,4.62424242424242,11.7212121212121,9.74343434343434,12.3959595959596,0.426625594643884,0.181818181818182,0.224242424242424,0.238383838383838,0.808080808080808,0.234343434343434,6.97777777777778,7.02424242424242,0.0363636363636364,0.0323232323232323,0.0729392316611259,0.0797617231137235,19940.1333333333,15110.0505050505,3.83232323232323,10.1640452858284,27636.0707070707,4504.44646464646,75944.1939393939,1.9959595959596,0.84040404040404,0.878787878787879,20.7737373737374,27.7292929292929,21.1555555555556,0.0682711548265122,0.545454545454546,8.14141414141414,8.25656565656566,7.06666666666667,12.5555555555556,11.1676767676768,12.0343434343434,0.426625594643884,0.23030303030303,0.238383838383838,0.2,1.04848484848485,0.286868686868687,7.43434343434344,6.88282828282828,0.0404040404040404,0.0363636363636364,0.191919191919192,0.191919191919192,19764.1515151515,14562.5050505051,145.444444444444,50.8202264291418,31793.0606060606,5048.05050505051,76458.1818181818,2.38383838383838,0.555555555555556,0.505050505050505,157.676767676768,63.1717171717172,164.89898989899,0.341355774132561,0.494949494949495,16.0606060606061,15.2727272727273,10.1919191919192,13.6161616161616,12.6161616161616,13.9393939393939,2.13312797321942,0.289242598392875,0.242424242424242,0.252525252525253,1.05050505050505,0.373737373737374,7.39393939393939,7.31313131313131,0.0552471185548987,0.0411386095820499,1.3030303030303,1.32323232323232
"15","BG",2021-08-02,23260.701010101,14256.5939393939,0.9446181709083,10.1640452858284,21476.1212121212,4778.04444444444,65801.5131313131,2.75757575757576,0.343434343434343,0.309090909090909,1.27856110820603,27.830303030303,1.42326650693497,0.0682711548265122,0.371717171717172,4.2969696969697,4.2969696969697,1.89292929292929,13.1272727272727,11.7515151515152,13.8181818181818,0.426625594643884,0.125252525252525,0.238383838383838,0.254545454545455,1.08080808080808,0.208080808080808,5.76363636363636,5.86262626262626,0.0262626262626263,0.0222222222222222,0.0729392316611259,0.0797617231137235,23231.4282828283,15141.896969697,5.75757575757576,10.1640452858284,23788.5474747475,5332.01212121212,72763.4101010101,2.85454545454545,0.256565656565657,0.264646464646465,12.4080808080808,29.9454545454545,13.6040404040404,0.0682711548265122,0.43030303030303,8.76363636363636,8.54141414141414,4.47474747474747,14.1616161616162,12.8646464646465,14.1030303030303,0.876767676767677,0.131313131313131,0.258585858585859,0.193939393939394,1.21818181818182,0.195959595959596,6.48484848484849,6.26868686868687,0.0242424242424242,0.0262626262626263,0.197979797979798,0.206060606060606,21989.7777777778,14374.6565656566,75.2626262626263,50.8202264291418,26900.6666666667,4570.89898989899,70946.9696969697,2.86868686868687,0.767676767676768,0.777777777777778,111.131313131313,78.5050505050505,107.787878787879,0.341355774132561,0.575757575757576,13.0909090909091,13.3737373737374,5.83838383838384,15.3737373737374,12.6161616161616,15.4949494949495,2.13312797321942,0.289242598392875,0.373737373737374,0.313131313131313,0.507804600803194,0.292929292929293,6.45454545454546,6.17171717171717,0.0552471185548987,0.0411386095820499,0.36469615830563,0.398808615568618
